g	nindividual	cost	p(0)	p(1)	p(2)	p(3)	p(4)	p(5)	p(6)	
7	45	0.228485	195.82	633.015	1.08343	72438.5	995.608	508801	6482.43
7	72	0.231702	198.801	633.268	0.983944	72527.1	993.538	510611	6389.35
8	44	0.0950438	76.4352	1715.01	1.18573	27657.8	268.906	303370	3278.53
8	66	0.161369	77.7176	2648.99	0.808505	42128.4	553.03	462348	4995.91
8	91	0.185183	95.6275	3227.27	0.801806	71871.8	981.962	65326	6395.3
8	77	0.185905	195.873	633.315	1.08269	38199.6	365.819	513700	6495.56
8	97	0.198911	77.7206	1924.28	1.07498	41659.7	995.92	460729	3636.59
8	57	0.205912	87.6217	635.001	1.08234	72339.7	996.942	732108	6430.68
8	53	0.210345	96.0222	3242.78	0.805268	71821.6	499.56	65127.3	2230.53
8	79	0.224275	78.003	2641.99	1.09124	42011.5	993.118	464167	6445.75
8	84	0.225885	194.264	626.991	1.08325	72576.5	983.477	503901	6409.77
8	98	0.226054	193.857	622.262	1.08422	72284.8	1000	507499	6349.17
9	44	0.091033	69.3165	1543.5	1.3043	24892	242.016	273033	2950.67
9	66	0.161369	77.7176	2648.99	0.808505	42128.4	553.03	462348	4995.91
9	91	0.185183	95.6275	3227.27	0.801806	71871.8	981.962	65326	6395.3
9	77	0.185905	195.873	633.315	1.08269	38199.6	365.819	513700	6495.56
9	109	0.191056	87.3128	629.841	1.08749	38390.8	368	397299	6375.29
9	97	0.198911	77.7206	1924.28	1.07498	41659.7	995.92	460729	3636.59
9	57	0.205912	87.6217	635.001	1.08234	72339.7	996.942	732108	6430.68
9	110	0.209609	194.82	627.64	1.0739	38486	983.604	503388	6507.81
9	53	0.210345	96.0222	3242.78	0.805268	71821.6	499.56	65127.3	2230.53
9	79	0.224275	78.003	2641.99	1.09124	42011.5	993.118	464167	6445.75
10	44	0.0729247	76.2481	1389.15	1.28546	22402.8	217.814	245730	2655.61
10	119	0.10162	77.8946	634.335	1.0964	38123.8	364.927	456444	3635.23
10	113	0.150567	94.7822	3111.29	0.81022	72035.8	497.406	65970.2	6428.75
10	66	0.161369	77.7176	2648.99	0.808505	42128.4	553.03	462348	4995.91
10	117	0.183874	195.89	628.042	1.09203	37884.6	362.561	509776	6478.92
10	91	0.185183	95.6275	3227.27	0.801806	71871.8	981.962	65326	6395.3
10	77	0.185905	195.873	633.315	1.08269	38199.6	365.819	513700	6495.56
10	109	0.191056	87.3128	629.841	1.08749	38390.8	368	397299	6375.29
10	97	0.198911	77.7206	1924.28	1.07498	41659.7	995.92	460729	3636.59
10	57	0.205912	87.6217	635.001	1.08234	72339.7	996.942	732108	6430.68
